[DEBUG] 2020-05-12 13:09:35.574 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@174adfba
[DEBUG] 2020-05-12 13:09:35.575 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7dcca3cb
[DEBUG] 2020-05-12 13:09:35.575 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7dcca3cb
[DEBUG] 2020-05-12 13:09:35.576 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@68042a4c
[DEBUG] 2020-05-12 13:09:35.576 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@68042a4c
[DEBUG] 2020-05-12 13:09:35.577 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@d1cc643
[DEBUG] 2020-05-12 13:09:35.578 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@d1cc643
[DEBUG] 2020-05-12 13:09:35.579 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@7e17940a
[DEBUG] 2020-05-12 13:09:35.579 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@7e17940a
[DEBUG] 2020-05-12 13:09:35.580 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@4170ed89
[DEBUG] 2020-05-12 13:09:35.580 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@4170ed89
[DEBUG] 2020-05-12 13:09:35.581 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@57a08bd9
[DEBUG] 2020-05-12 13:09:35.581 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@57a08bd9
[DEBUG] 2020-05-12 13:09:35.581 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@57a08bd9
[DEBUG] 2020-05-12 13:09:35.582 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@8a52c5f
[DEBUG] 2020-05-12 13:09:35.583 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@53f99e8
[DEBUG] 2020-05-12 13:09:35.583 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@53f99e8
[DEBUG] 2020-05-12 13:09:35.583 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@53f99e8
[DEBUG] 2020-05-12 13:09:35.584 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@2b65b241
[DEBUG] 2020-05-12 13:09:35.584 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@2c2adbf9
[DEBUG] 2020-05-12 13:09:35.585 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@2c2adbf9
[DEBUG] 2020-05-12 13:09:35.585 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@688f3edd
[DEBUG] 2020-05-12 13:09:35.585 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@688f3edd
[DEBUG] 2020-05-12 13:09:35.586 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4e72c340
[DEBUG] 2020-05-12 13:09:35.586 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4e72c340
[DEBUG] 2020-05-12 13:09:35.586 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@780264f0
[DEBUG] 2020-05-12 13:09:35.587 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@780264f0
[DEBUG] 2020-05-12 13:09:35.587 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@5515bbd4
[DEBUG] 2020-05-12 13:09:35.587 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@5515bbd4
[DEBUG] 2020-05-12 13:09:35.587 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@35d96a4c
[DEBUG] 2020-05-12 13:09:35.588 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@1ad83d
[DEBUG] 2020-05-12 13:09:35.588 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@1ad83d
[DEBUG] 2020-05-12 13:09:35.588 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@1ad83d
[DEBUG] 2020-05-12 13:09:35.589 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@19840d5a
[DEBUG] 2020-05-12 13:09:35.589 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@19840d5a
[DEBUG] 2020-05-12 13:09:35.589 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@19840d5a
[DEBUG] 2020-05-12 13:09:35.590 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@479c4637
[DEBUG] 2020-05-12 13:09:35.590 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@6b9139ff
[DEBUG] 2020-05-12 13:09:35.591 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@2748d055
[DEBUG] 2020-05-12 13:09:35.591 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@2748d055
[DEBUG] 2020-05-12 13:09:35.591 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@2748d055
[DEBUG] 2020-05-12 13:09:35.594 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@312763ee
[DEBUG] 2020-05-12 13:09:35.594 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@312763ee
[DEBUG] 2020-05-12 13:09:35.594 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@312763ee
[DEBUG] 2020-05-12 13:09:35.594 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@1747e282
[DEBUG] 2020-05-12 13:09:35.595 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@15ea4a6d
[DEBUG] 2020-05-12 13:09:35.596 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@377d65cf
[DEBUG] 2020-05-12 13:09:35.596 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@377d65cf
[DEBUG] 2020-05-12 13:09:35.596 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@2955ee99
[DEBUG] 2020-05-12 13:09:35.597 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@36aca10f
[DEBUG] 2020-05-12 13:09:35.597 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@36aca10f
[DEBUG] 2020-05-12 13:09:35.598 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@5190c006
[DEBUG] 2020-05-12 13:09:35.598 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@5190c006
[DEBUG] 2020-05-12 13:09:35.598 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@395df9de
[DEBUG] 2020-05-12 13:09:35.599 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@3a5df63a
[DEBUG] 2020-05-12 13:09:35.600 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@6439e91
[DEBUG] 2020-05-12 13:09:35.602 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@44b37141
[DEBUG] 2020-05-12 13:09:35.602 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@44b37141
